Compound_CID,Name,SMILES,InChIKey
135398737,Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,QZUDBNBUXVUHMW-UHFFFAOYSA-N
2391,Bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,KHOITXIGCFIULA-UHFFFAOYSA-N
2160,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N
71285,"N-Methyl-3,4-methylenedioxyamphetamine Hydrochloride",CC(CC1=CC2=C(C=C1)OCO2)NC.Cl,LUWHVONVCYWRMZ-UHFFFAOYSA-N
89594,Nicotine,CN1CCC[C@H]1C2=CN=CC=C2,SNICXCGAKADSCV-JTQLQIEISA-N
68551,Mianserin Hydrochloride,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42.Cl,YNPFMWCWRVTGKJ-UHFFFAOYSA-N
11065,Amitriptyline Hydrochloride,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,KFYRPLNVJVHZGT-UHFFFAOYSA-N
1615,"3,4-Methylenedioxymethamphetamine",CC(CC1=CC2=C(C=C1)OCO2)NC,SHXWCVYOXRDMCX-UHFFFAOYSA-N
2761171,Ethionamide,CCC1=NC=CC(=C1)C(=S)N,AEOCXXJPGCBFJA-UHFFFAOYSA-N
16362,Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,YVUQSNJEYSNKRX-UHFFFAOYSA-N
941361,Flunarizine,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,SMANXXCATUTDDT-QPJJXVBHSA-N
158798,Antazoline Phosphate,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.OP(=O)(O)O,DUIGUKRYYAGJAF-UHFFFAOYSA-N
2578,Carmustine,C(CCl)NC(=O)N(CCCl)N=O,DLGOEMSEDOSKAD-UHFFFAOYSA-N
1983,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N
227456,Gossypol Acetic Acid,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O.CC(=O)O,NIOHNDKHQHVLKA-UHFFFAOYSA-N
3957,Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,JCCNYMKQOSZNPW-UHFFFAOYSA-N
22576,Cyclobenzaprine Hydrochloride,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,VXEAYBOGHINOKW-UHFFFAOYSA-N
47811,Pergolide,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC,YEHCICAEULNIGD-MZMPZRCHSA-N
3121,Valproic Acid,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N
2083,Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,NDAUXUAQIAJITI-UHFFFAOYSA-N
2895,Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,JURKNVYFZMSNLP-UHFFFAOYSA-N
2955,Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,MQJKPEGWNLWLTK-UHFFFAOYSA-N
3883,Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,MJIHNNLFOKEZEW-UHFFFAOYSA-N
2244,Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
2756,Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,AQIXAKUUQRKLND-UHFFFAOYSA-N
4680,Papaverine,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N
5452,Thioridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,KLBQZWRITKRQQV-UHFFFAOYSA-N
5426,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,UEJJHQNACJXSKW-UHFFFAOYSA-N
448537,Diethylstilbestrol,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,RGLYKWWBQGJZGM-ISLYRVAYSA-N
2153,Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
2477,Buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N
2801,Clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,GDLIGKIOYRNHDA-UHFFFAOYSA-N
4057,Mepenzolate,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,GKNPSSNBBWDAGH-UHFFFAOYSA-N
2727,Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,RKWGIWYCVPQPMF-UHFFFAOYSA-N
2995,Desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,HCYAFALTSJYZDH-UHFFFAOYSA-N
3559,Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,LNEPOXFFQSENCJ-UHFFFAOYSA-N
3767,Isoniazid,C1=CN=CC=C1C(=O)NN,QRXWMOHMRWLFEY-UHFFFAOYSA-N
3779,Isoproterenol,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,JWZZKOKVBUJMES-UHFFFAOYSA-N
3372,Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,PLDUPXSUYLZYBN-UHFFFAOYSA-N
3488,Glibenclamide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
4168,Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,TTWJBBZEZQICBI-UHFFFAOYSA-N
1046,Pyrazinamide,C1=CN=C(C=N1)C(=O)N,IPEHBUMCGVEMRF-UHFFFAOYSA-N
2130,Amantadine,C1C2CC3CC1CC(C2)(C3)N,DKNWSYNQZKUICI-UHFFFAOYSA-N
2170,Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,QWGDMFLQWFTERH-UHFFFAOYSA-N
